Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
,,,10/21/2020 02:14:15 pm,119.500,16.0
,,,10/21/2020 02:14:16 pm,120.000,15.9
,,,10/21/2020 02:14:16 pm,120.500,15.8
,,,10/21/2020 02:14:17 pm,121.000,15.7
,,,10/21/2020 02:14:17 pm,121.500,15.7
,,,10/21/2020 02:14:18 pm,122.000,15.6
,,,10/21/2020 02:14:18 pm,122.500,15.5
,,,10/21/2020 02:14:19 pm,123.000,15.5
,,,10/21/2020 02:14:19 pm,123.500,15.4
,,,10/21/2020 02:14:20 pm,124.000,15.4
,,,10/21/2020 02:14:20 pm,124.500,15.3
,,,10/21/2020 02:14:21 pm,125.000,15.3
,,,10/21/2020 02:14:21 pm,125.500,15.2
,,,10/21/2020 02:14:22 pm,126.000,15.2
,,,10/21/2020 02:14:22 pm,126.500,15.1
,,,10/21/2020 02:14:23 pm,127.000,15.1
,,,10/21/2020 02:14:23 pm,127.500,15.1
,,,10/21/2020 02:14:24 pm,128.000,15.0
,,,10/21/2020 02:14:24 pm,128.500,14.9
,,,10/21/2020 02:14:25 pm,129.000,14.8
,,,10/21/2020 02:14:25 pm,129.500,14.7
,,,10/21/2020 02:14:26 pm,130.000,14.7
,,,10/21/2020 02:14:26 pm,130.500,14.6
,,,10/21/2020 02:14:27 pm,131.000,14.5
,,,10/21/2020 02:14:27 pm,131.500,14.5
,,,10/21/2020 02:14:28 pm,132.000,14.4
,,,10/21/2020 02:14:28 pm,132.500,14.4
,,,10/21/2020 02:14:29 pm,133.000,14.3
,,,10/21/2020 02:14:29 pm,133.500,14.3
,,,10/21/2020 02:14:30 pm,134.000,14.2
,,,10/21/2020 02:14:30 pm,134.500,14.1
,,,10/21/2020 02:14:31 pm,135.000,14.0
,,,10/21/2020 02:14:31 pm,135.500,14.0
,,,10/21/2020 02:14:32 pm,136.000,13.9
,,,10/21/2020 02:14:32 pm,136.500,13.9
,,,10/21/2020 02:14:33 pm,137.000,13.8
,,,10/21/2020 02:14:33 pm,137.500,13.8
,,,10/21/2020 02:14:34 pm,138.000,13.7
,,,10/21/2020 02:14:34 pm,138.500,13.6
,,,10/21/2020 02:14:35 pm,139.000,13.6
,,,10/21/2020 02:14:35 pm,139.500,13.6
,,,10/21/2020 02:14:36 pm,140.000,13.5
,,,10/21/2020 02:14:36 pm,140.500,13.5
,,,10/21/2020 02:14:37 pm,141.000,13.5
,,,10/21/2020 02:14:37 pm,141.500,13.4
,,,10/21/2020 02:14:38 pm,142.000,13.3
,,,10/21/2020 02:14:38 pm,142.500,13.3
,,,10/21/2020 02:14:39 pm,143.000,13.3
,,,10/21/2020 02:14:39 pm,143.500,13.2
,,,10/21/2020 02:14:40 pm,144.000,13.2
,,,10/21/2020 02:14:40 pm,144.500,13.1
,,,10/21/2020 02:14:41 pm,145.000,13.1
,,,10/21/2020 02:14:41 pm,145.500,13.0
,,,10/21/2020 02:14:42 pm,146.000,13.0
,,,10/21/2020 02:14:42 pm,146.500,13.0
